question,answer
người dân vietnam có đông lòng phòng_chống dịch không,có chứ
cậu có thích nuôi con gì không,có á
có phim nào về thể_loại tội_phạm hay không,phim extracurricular của hàn quốc cực hay
bạn thân và bạn thường hay đi đâu,chúng_tôi hay đi cà_phê với nhau
chờ nhau tại quán luôn hay chờ ở đâu,tại quán
bạn chơi game không,mình không chơi game
mày tên gì,hưng
bên shop sẽ giao hàng trong bao_lâu,hiện_tại thì sẽ là 3 ngày để hàng đến tay người dùng
học gì,đại_học
chờ tao tao mở máy_cái,ok
cuối tuần này bạn có rãnh hay không,cuối tuần này mình rãnh
bạn cho mình hỏi bạn thích điện_thoại iphone hay samsung hơn,tớ thích điện_thoại samsung hơn
tối nay đi cà_phê cùng em tớ không,ok nhé
ổn_định không,có
mày thấy nhỏ đó có được không mạy,cũng được đó nhưng mà không phải gu của tao
đi thái lan vào kì nghỉ_hè không,có
bạn được lập_trình từ ngôn_ngữ nào,mình được lập_trình từ rất nhiều ngôn_ngữ nhưng phần_lớn là java
bạn đã từng đi du_lịch chưa,rồi chứ
hay chơi đá banh không,không
bạn đi thực_tập nghề_nghiệp chưa,mình đi rồi
trường mình có cơ_sở vật_chất như thế_nào,cơ_sở vật_chất trường mình rất tốt
bạn đang làm nghề gì,mình đang làm phục_vụ quán nước
bóng_rổ,có hay đi coffee với bạn_bè không
phim hồi nãy coi hay không,hay tuyệt
tết đi đâu không,về quê
dạ em muốn biết trường mình có gì đặc_biệt hơn trường khác,trường mình có thư_viện tốt nhất nước
bạn có ước_mơ gì không,một công_việc và gia_đình hạnh_phúc
bố_mẹ ông làm công_việc gì vậy,bố_mẹ tui làm giám_đốc
thường là thứ bảy cuối_cùng của tháng lúc 930 tối có quá muộn không,không tôi nghĩ rằng sẽ ổn
đường nào,đường xích_đạo
alo cậu có đang đi học không,tớ không tớ đang ở nhà thôi
bạn thân của bạn có_học cùng trường đại_học với bạn không,bạn thân mình học ở nhiều trường khác
cha_mẹ bạn có ở quê không,cha_mẹ mình hiện_tại đang ở dưới quê
bạn có thường về quê không,hàng tuần khi có thời_gian rảnh mình sẽ về vì quên_mình kahs gần thành_phố
bạn có em_gái không,có nhé
sao ông chơi tết ít thế,vô_lại để học nữa ông
làm cực không,cũng được không cực lắm
có bảo_hành không,có
quê nhà bạn có đặc_sản gì ngon không,đặc_sản quê mình là bún ốc hà_nội
nay vui_vậy,mới lãnh lương
bạn ấy có_học trường mình không,có bạn ấy học chung ngành với mình
ngon thế hẹn ông 3h chiều ở nhà thi_đấu nguyễn du nhó,oke luôn ông ei
bạn có muốn đi ăn vào cuối tuần này hay không,tất_nhiên là muốn rồi
vậy giờ ăn gì,ra quán hủ_tiếu đi
mình lên đó làm gì bạn,đi cắm cắm trại bạn
bạn thích xem phim gì,mình thích xem phim khoa_học viễn_tưởng
năm nay bạn định đi du_lịch ở đâu,mình tính đi về miền tây du_lịch
có_học chung môn với bạn không,có
cho làm_quen nhé,ừ
gia_đình bạn ở đâu,gia_đình mình ở chung với mình
bạn có hay uống trà sữa với bạn không,mình hay đi với bạn vào cuối tuần
bạn đó quê ở đâu,bạn gái mình quê ở cà_mau
cảm_ơn cậu nhiều nha,có gì đâu
bạn đang làm nghề gì,mình đang là sinh_viên
đi xem phim không,ok
năm mấy,năm 3
quan_điểm của bạn về việc học đại_học là gì,đại_học là học đại
thể_thao yêu thích,cầu_lông
nhà ông ở đâu zay,tui ở tân_bình
bạn có bị áp_lực trong việc học không,việc học_tập cũng khá áp_lực với tôi
sếp của anh quản_lý nhân_sự công_ty bằng cách nào,sếp anh quản_lý nhân_sự bằng cách
giờ đi luôn phải không,ok bro
bạn hơn anh_chị bạn bao_nhiêu tuổi,bé hơn 3 tuổi
ê,sao sao
bạn có nhiều bạn_bè không,mình có nhiều bạn_bè lắm đó
bạn thích học môn nào nhất,môn xử_lý ngôn_ngữ tự_nhiên
bạn hiện_tại ở đâu,mình hiện_tại ở hồ chí minh
mày xạo à,làm gì có
đi đà_lạt với tao nè,thôi đi đà lạt lễ này đông lắm
có gì hay,bún đậu
bạn thân bạn là ai,hỏi chi
chơi có thân không,thân
quận mấy,bình tân - bò nhiều hơn dân
bản có phải là con chủ_tịch không,con chủ_tịch thì chả việc gì ngồi đây
giờ m làm gì rồi,tao đang thử việc tại công_ty abc
đó là gì,xem phim
bạn có người_yêu không hả robot,đương_nhiên là có rồi đẹp_trai như tôi không có cũng phí
bạn tên gì,tên vân
mình đang tìm một chiếc áo polo có màu đen,áo polo màu đen mình có những mẫu sau ạ
bạn có thường đi chơi cùng bạn ấy không,mình thường đi cùng bạn ấy và nhóm bạn đại_học
có người_yêu chưa,chưa
có làm thêm không,có
gia_đình bạn sống ở đâu,hiện_tại thì sống ở đây thôi bot à
dọn_dẹp mệt không,mệt chứ
đi bằng gì,xe_máy
em muốn ở lâu tại ktx thì làm thế_nào ạ,em tuân_thủ theo nội_quy ktx và tham_gia hoạt_động thể_dục để xét ở lại ktx nhé
hay đi spa luôn cho nó máu,thôi thôi đi biển vũng_tàu thôi
mai rảnh không,ok rảnh
muốn đi du_lịch với người_yêu ở đâu,đâu cũng muốn
vậy mình rủ thêm mấy đứa nữa đi chung cho vui_nha,ok cậu cậu rủ đi
ok cậu nhé,hihi
quê bạn ở đâu,quê mình ở đà_lạt
anh học trường nào,tôi học trường đại_học sài_gòn
rất vui khi nghe vậy cậu giữ_gìn sức_khỏe nhé hà,cậu cũng vậy huy
tối mai bạn có muốn đi ăn với mình không,xin_lỗi mai mình bận nên không đi được
bạn có muốn đi uống coffee không,nếu là con_gái thì okey
áo này bên bạn có size nhỏ hơn không,bên mình còn size nhỏ hơn
thư_viện trường mình như thế_nào,thư_viện trường mình rất rộng và hiện_đại
bạn hiện đang là sinh_viên trường nào,tớ đang là sinh_viên trường tôn đức thắng
trường có thư_viện cho sinh_viên tham_khảo tài_liệu không ạ,trường có thư_viện phục_vụ cho nhu_cầu học_tập của sinh_viên bạn nhé
mèo và vịt khác nhau,mèo 4 chân_vịt 2 chân
lì_xì nhiêu,2 xị
ăn gì ở đâu,bò né
bạn có biết tôi là ai không,biết chứ bạn là người đang nói_chuyện với tôi
chỗ đó có gì đẹp,phong_cách châu âu
miền trung sao rồi,đang ổn_định lại
họ và tên của bạn là gì,họ và tên của mình là hà công thành
tối ăn gì,ăn cơm
chút rãnh chơi game không,oke
bạn có từng làm từ_thiện chưa,rồi
trường rộng không,bao rộng
mình nên mua điện_thoại android hay ios,bạn nên mua điện_thoại android
chung_cư hay nhà_trọ của bạn ở có an_ninh không,rất an_ninh
bạn có hay về quê chơi không,tết nào mình cũng về chơi hết nhớ nhà mà
quê bạn ở đâu_vậy,quê mình ở cần giờ tphcm
bạn học lớp mấy rồi,học đại_học rồi đó
có crush,rồi
quê bạn có địa_điểm du_lịch nào không,có ạ nổi_tiếng ở đây là vùng thất_sơn bảy núi đó bạn
mình đi ăn gì nha,dạ mà ăn gì ạ
vậy sắp tới bạn có đi sự_kiện nào không,không mình ở nhà vì tổ_quốc
bạn có_thể tới borabora giống như tôi,nơi đó ở pháp nhỉ
tôi cũng rất thích đọc sách thể_loại tôi thích nhất_là đọc sách,tôi cũng thích tiểu_thuyết tôi đã từng có một bộ sưu_tập tiểu_thuyết nữa đấy
nơi cậu đang làm ở đâu có xa lắm không,dvs
khi rảnh bạn thường làm gì,chơi game và nghe nhạc
có một trận động_đất lớn ở san diego,ôi điều đó thật tệ
bạn có người_yêu chưa,mình có rùi
ngày sản_xuất khi nào,1 tháng trước
cho mình hỏi bạn tên gì,thành khang
bạn có thích công_việc của mình không,không
mình muốn mua điện_thoại,điện_thoại hãng gì
bạn cao nhiêu,2 mét
bạn họ gì,mình họ đào
đi xem phim gái già lắm chiêu mùng 1 tết không,không
hôm_nay ăn gì,ăn cơm ở nhà
paipiri koumei - khổng minh thích tiệc_tùng,wtf phim gì đây
mẫu người_yêu là gì,đẹp
mày quê ở đâu,hà_nội
rảnh không,rảnh
cái khó là mình phải làm 100 tiếng anh,đâu ra vụ này vậy
chủ_nhật như mày nói hoặc thứ 7,ok thống_nhất chủ_nhật
đang đi học hay đi làm,đang học ở tdtu
nhà bạn có bao_nhiêu anh_chị_em,nhà mình có 3 anh_chị_em
cho hỏi mình bạn tên gì,mình tên là lan
bạn định đi ăn_ở đâu,mình định đi ăn_ở aka house quận
kí_túc_xá của trường được đánh_giá_như thế_nào,kí_túc_xá ok lắm nhưng kỷ_luật cao
cho em xem hình thật của áo để xem chất_liệu vải được không ạ,ok áo len dày_dặn lắm bạn nhé
chủ_nhật đá nhé chỉ rảnh có mỗi hôm đó,được đấy sáng hay chiều
đất_nước mình thật đẹp,uhm đúng_vậy
quê mày có phố đi bộ không,có
trải nghiệm ở phan_thiết như nào vậy,có cái nóng của thành_phố biển
mai về quê ăn tết à,ừ mai tao về huế
rồi bạn thổ_lộ chưa,mình chưa nữa
có mẫu máy hút_bụi nào dưới 1 triệu không shop,mẫu này được nhiều người mua nè bạn
khi nào chúng_ta đi,tháng sáu này sẽ đi
bạn thích gì nhất khi đi làm,mình thích trải nghiệp những việc khó
nhà bạn là nhà cấp 4 hay biệt_phủ,nhà mình là nhà cấp 4
tao chưa nói gì với nó nên nó chưa biết được,thế_thì cứ bình_thường vui_vẻ có dũng_khí đã
mẹ bạn làm nghề gì,mẹ mình đóng vai_trò rất quan_trọng trong vai_trò làm vợ của ba mình
tư_vấn tao mua máy_tính giúp được không,được giờ mày cần máy để làm gì
hiện_giờ có đang thích ai không,hiện_tại có crush một bạn trong lớp anh văn
địa_chỉ nhà ở đâu,quận 4 tphcm
trường có nhiều câu lạc_bộ không,nhiều
gu người_yêu bạn như thế_nào,cao_ráo đẹp_trai
mày có thích chơi thể_thao không,kó
ê coi phim xong đi quẩy net không,đi thì đi
đi chơi ở đâu,đà_lạt
tao tính mua điện_thoại mới mà đang phân_vân giữa ip12 với 11 pro max,giàu_vậy ba
nào ra trường,chưa biết
nhà ở đâu,bình tân - bò nhiều hơn dân
vậy chúng_mình bằng tuổi nhau rồi mình cũng sinh năm 2000,vậy bạn sinh vào tháng máy
à lan có chuyện gì không,tớ chỉ muốn gọi hỏi_thăm cậu thôi cậu quen với chỗ ở mới chưa
à chắc cậu đang nói tới mì quảng,à đúng rồi á cậu
sao về nhà rồi,nghỉ dịch
vậy tí mình đi vincom đồng_khởi nhé,sao cậu không đi crescent mall cho gần
thế bạn có tính về bển không,chưa biết nữa
bạn ở chung_cư hay ở nhà_trọ sinh_viên,mình ở chung_cư
người đó có cùng quê không,có ở long an á
ở đâu,hồ chí minh
dưới mát hông,mát chứ cây từa lưa
hè này bạn sẽ đi đâu chơi,mình sẽ đi đà_lạt
thế còn ngoại_hình thì sao,đẹp
ê mày,gì
mình tính đi đà lạt bạn có muốn đi cùng không,được đấy
có an_ninh không,gần phường nên an_ninh lắm
đi chơi không,đi
bạn muốn có người_yêu như thế_nào,hiểu chuyện là đủ
mang thẻ sv chưa,rồi
sở_thích của bạn là gì,chơi game nghe nhạc
vậy bọn mình đi ăn_ở quán anh ba được không,cũng được
bạn đã có người_yêu chưa,mình có người_yêu rồi
đi xem phim chung với mình không,ok mình đi chung
ngày làm mấy tiếng,8 tiếng
nhà bạn có bao_nhiêu phòng ngủ,4 phòng ngủ
những điểm du_lịch nổi_tiếng ở quê ông là gì,phan_thiết mũi né bàu trắng
bạn là sinh_viên năm mấy rồi,tớ là sinh_viên năm cuối
bạn có muốn đi đà_nẵng không,tôi rất thích đi đà_nẵng vào những ngày nắng đẹp
mày ở miền nào,miền nam
bạn có nhớ quê không,có
chị_gái xinh không,giống hoa_hậu
thư_viện đâu anh,bên trái nhà c
có tặng kèm gì không,có
à có mình bạn minh cường hải với vài người nữa,có gì thì tụi mình rủ thêm càng đông càng vui
ê mày đang làm gì vậy,chơi game
đặt đồ ăn app nào,now
bạn sinh ngày mấy tháng mấy vậy,mình sinh ngày 5 tháng 3
hiện_tại bạn có người_yêu không,không
mày như nào,tao đá banh hơi cùi
bạn tên gì,tôi tên nguyên
có xem phim không,có
tết bạn có về quê với gia_đình không,năm nay khó_khăn nên mình không về
còn về đồ uống ưa_thích của cậu,đồ uống ưa_thích của mình là coca
bạn_bè ông có nhiều không,không ông à
bố bạn làm nghề gì,bố mình làm công_viên_chức nhà_nước
bạn học trường gì,mình học trường đại_học tôn đức thắng
lâu_nay rồi bạn có bạn gái mới chưa,mình có rồi
bạn có hay đi chơi với bạn không,có mình thường đi chơi với bạn_bè mình
hay đi cùng với ai,bạn_bè
bạn học ở đâu,tdtu
trường đẹp không,bao đẹp
phim bạn thích nhất là phim nào,tân lộc đỉnh ký
khi rảnh bạn hay nghĩ về ai,mình hay nghĩ về gia_đình
sếp cậu thế_nào,sếp tớ vừa xinh vừa quan_tâm tớ
bạn có biết tôi là ai không,tất_nhiên
alo cho tao hỏi lúc rảnh_rỗi thì mày làm gì vậy,tao làm nhiều việc lắm
gia_đình cậu theo tôn_giáo nào,hầu_hết là thiên chúa_giáo nha bạn
đưa mình một ý_tưởng để làm đồ_án đi,tự nghĩ đi tận_dụng những gì bạn muốn làm nhưng quá lười để thực_hiện ấy
mồng ba tết bạn muốn đi đâu,đà_lạt
bạn mua điện_thoại gì vậy,mình mua redmi note 9s
ê mày tao mới mua cái 12 128gb nè,màu gì đấy
xin hỏi bạn cần tư_vấn gì ạ,mình đang tìm vài loại áo sơmi
bạn có quan_điểm gì về bạn_bè,chỉ cần tốt là được
sở_thích của bạn là gì,bóng_rổ
bạn tính mua online hay offline,mình tính mua offline
có người_yêu chưa,rồi
khoảng bao_nhiêu vậy,vé của t khoang thường nên chỉ có mấy trăm thôi
1tr5 tháng,trọ an_toàn không
happy or sad,happy
bạn có thích chơi thể_thao không,có
bạn có ý_định rủ bạn ấy đi chơi không,có tết này mình sẽ cùng bạn ấy về quê mình chơi
đi ăn gần nhà tui nha,ừm được mà
phim bạn thích nhất là phim nào,chắc có_lẽ là phim avatar
ông có nhóm chưa cho tui vô với,à nhớ rồi
còn bạn tên gì,nam
học trường nào,đh tđt
nơi bạn ở trọ có gần trạm xe_buýt không,gần lắm bạn chỉ cần 5 phút đi bộ là tới à
quê mày thích ăn ngọt hay ăn mặn,ăn ngọt
còn bạn tên gì,tui tên nam
giá của phòng bạn bao_nhiêu,phòng mình giá 3 triệu
đi ăn gì này,ăn gà đi
nghề gì,công_chúa
lâu_nay rồi mày có bạn gái mới chưa,rồi
ê đánh nhau đi,tao đàn_em của tài chó điên một_mình tao chấp hết
bạn có thích gấu bông không,có chỗ bàn làm_việc của mình có nhiều gấu bông lắm
tớ có_thể phá_hoại cậu không,tớ nghĩ cậu có_thể đọc thêm sách
anh có người_thương chưa,anh chưa
bạn có muốn đi du_lịch không,ồ tất_nhiên rối
về quê hết bao_nhiêu tiếng,7 tiếng
quê bạn đã nên xã chưa hay vẫn là thôn,đã lên xã
khu bạn sống có gần trung_tâm không,mình ở ngay trung_tâm luôn
về quê ăn tết không,chắc không
em có bận không,bận tối_mắt tối mũi
phòng riêng của anh có máy_lạnh không,phòng riêng của tôi có máy_lạnh
khu đó có nhiều sinh_viên không,nhiều
lotte mart quận 7,mấy giờ
xinh không,ngon lắm
công_ty đó có còn đang tuyển không,tao không biết nữa mày lên coi liên_hệ phòng nhân_sự thử
khi nào thì cậu đi qua đấy,năm sau mình sẽ đi nè
có làm thêm không,học còn không xong làm thêm cho chết à
cho mình hỏi người_yêu bạn đi làm chưa,bạn hỏi hơi nhiều rồi đấy
nhóc tên gì,bình
bạn_bè cùng khóa có hòa_thuận không,mọi người đều khá là dễ mến
tên,nguyên
công_việc mơ_ước,tiếp_viên hàng_không
thực_tập mà,có lương mới hăng làm
bạn cho mình hỏi bạn tên gì,hiếu
cậu cho mình hỏi cậu biết chơi bóng_chuyền không,biết ă mình cũng đã từng chơi hồi lúc còn đi học ă
bạn muốn xem phim gì,mình xem phim gì cũng được tùy_bạn
có chơi cầu_lông không,không thường_xuyên
sau quoay,đã quoay
mình tên huy,bạn học ở đâu
trái_đất tròn hay méo,trái_đất là hình_phẳng
hiện bạn cảm_thấy như thế_nào,bình_thường
tơ muốn mua quần_áo tết,mua áo_dài đi
nấu gì vậy,cơm
quê mày đâu,phú_yên
mình tên an rất vui được làm_quen với bạn,ừ chào bạn mình tên minh
sao quán này pha trà cho nhiều đường quá_vậy,chắc tùy khẩu_vị mỗi người hoặc do ông viết công_thức thích ngọt
cậu thường đi shopping ở đâu,ở vincom đồng_khởi quận 1
người đó ở đâu,ở long an luôn
bạn quen anh đó được bao_lâu rồi,mình quen cũng gần 3 năm rồi
rạp nào,cgv
công_việc,lập_trình_viên
bạn cho mình hỏi bạn mua nó được bao_lâu rồi,mình mua cũng được 3 năm rồi ấy cậu
mai bạn có muốn đi đá banh chung với tụi mình không,xin_lỗi mai mình có việc bận rồi
có dịp lễ nào bạn đi du_lịch xa chưa,có một_vài lần mình đi du_lịch nước_ngoài
cửa_hàng của mình bán những loại thiết_bị gì,bán đồ điện_tử bao_gồm máy_tính các loại và có cả điện_thoại
mày có người_yêu chưa,có rồi nè
bạn đang sống ở đâu_thế,mình đang sống ở thành_phố hồ chí minh
ê mày học ngành gì,tao học nghành khoa_học máy_tính
bạn có thích ăn cá với cơm không,mình chỉ muốn thơm má bạn thôi
nghe nói cần có điểm rèn_luyện trong học_kỳ,cần điểm rèn_luyện để xét tốt_nghiệp nhé
không hết tiền không về,không về không về
bạn làm nghề gì,mình đang là sinh_viên
tranh_thủ đi chơi nhen,ok để sắp_xếp
ước_mơ sau_này làm gì,lập_trình_viên làm về web lương nghìn_đô
mày ghét môn gì nhất,no comment
mày là anh hay em,em cả
bạn có bạn thân khác giới không,có
ssd có đắt không,cũng không đắt
crush của bạn là người như thế_nào,crush của mình rất là dễ_thương
đoán xem,đi xem 2 lần hả
xài laptop hãng nào,hp
nhà bạn có việc gì à,có
môn thể_thao yêu thích của bạn là gì,tôi thích bóng_rổ tôi xem các trận_đấu trên tv mọi lúc
mầy làm ở đâu,công_ty abc
rủ thêm mấy đứa nữa đi cho vui,tùy_mày
có nghề tay_trái không,buôn_lậu
bạn tên là gì vậy,mình tên quang
năm nay đi sapa nhé,cũng ok đó
ở trường tđt mặc đồng_phục như thế_nào,nữ sẽ mặc áo_dài hồng nam mặc áo sơ_mi trắng
ngắn,lên tầng 1 đi
nghe nói bạn mới chuyển ngành à,uk mới chuyển được 1 tuần trước
rảnh không,không rảnh
cãi nhau với người_yêu thì bị gì,bị ăn đập
đi nghĩa_vụ quân_sự chưa,chưa
đi ăn tối nhỉ,ừm đi
em dạo này ổn không,em ổn ạ
bạn có thường đi du_lịch không,mình đều đi 2 lần 1 năm
đà lạt thuộc tỉnh nào của việt_nam,đà lạt là thành_phố trực_thuộc tỉnh lâm đồng
áo có màu vàng không,hết rồi
rảnh không nói_chuyện chơi,rảnh
quê của bạn có đẹp không,quê của mình rất là đẹp luôn
bạn đang là sinh_viên năm mấy,mình đang là sinh_viên năm 3
cậu thích phim gì nhất,phim tớ thích nhất là transformers
quê bạn ở đâu,quê tôi ở tiền giang nè bạn
vậy bạn làm công_việc gì ở đó,mình đang làm quản_lý quán
bạn ở trọ chung với ai vậy,mình ở trọ một_mình
bạn ở cùng với các bạn cùng trường không,có 2 bạn học cùng trường và 1 bạn học tài_chính marketing
bạn thích mẫu người như thế_nào,đẹp gái
bạn đi nha trang chưa,mình đi nha trang rồi chổ đó khá đẹp và mát_mẻ
tdtu có mấy cơ_sở,tdtu có 5 cơ_sở
ai là người bạn thân nhất của bạn,bạn thân nhất đang là người_yêu của mình
học xong đi làm hay học tiếp,đi làm
phim gi đang hot cuối năm 2020,lừa đểu gặp lừa_đảo đấy
khi stress bạn thích coi phim nào,jav animation
tớ đang định đi lên trường bữa giờ được nghỉ có đi đâu chơi không,có đi đâu_đâu tớ chỉ ở nhà không à
bạn ơi bạn có_thể tư_vấn cho mình về điện_thoại bạn đang dùng được không,được chứ bạn bạn muốn hỏi gì cứ hỏi đi
hiện_tại bạn đang học trường nào thế,hiện mình là sinh_viên trường đại_học buôn ma_thuột
bạn có người_yêu chưa,chưa
khi yêu thì thích đi chơi ở đâu,đi ăn cùng người_yêu
mày có bao_giờ thích bạn thân,có_lẽ
cậu làm ở đó lâu chưa,chưa chỉ mới hai tháng à
tối mai đi ăn_không,không đi được
bạn có nhiều bạn không,không ít à
bạn có_thể làm gì,trả_lời câu hỏi về lịch_sử trường quá_trình hình_thành thông_tin các tòa nhà nội_quy
quê ở đâu,tiền_giang
bạn có_thể đi xem trận_đấu tối giữa vn và thailan với mình không,ok
bạn hay chơi môn thể_thao nào nhất,bóng_đá
mày tên gì,phát
lo gì bạn ơi mấy anh_em nhóm tao gánh hết,vãi thật lo học đi ông nội làm bài mà rèn kỹ_năng
ăn xong nếu còn thời_gian mình đi uống cafe rồi trờ lại làm_việc,cũng được ă mình cũng thích uống cafe
hai bạn bằng tuổi à,không bạn đó lớn hơn mình
những người nào khiến ông muốn làm_bạn,mọi người ngoại_trừ tên bảo
xung_quanh trường có chỗ thuê phòng trọ không,không rõ
toi nghi la vung tau nha trang phan thiet,noi gan nhat la dau nhi
có ở ghép với ai không,ở ghép thì bạn đỡ tiền thuê nhà nhiều phần
học nghành nào,nghành khoa_học máy_tinh
bạn ăn gì chưa,tôi ăn rồi nha còn bạn
quê_quán,đồng_tháp
cho mình hỏi quan_điểm về tình_yêu của bạn,quan_điểm là có_thể yêu là được
cho em hỏi áo này có bao_nhiêu size vậy ạ,áo này hiện_tại có 4 size
có bao_nhiêu anh_chị_em,3 anh_chị_em
quê bạn có gì ngon không,quê mình có sầu riên siêu ngon
đi ăn cùng mình không,uhm thế mình đi ăn_ở đâu
thế bạn là người như thế_nào,mình là mẫu người khá đơn_giản
so với trước đây thì game không còn hấp_dẫn nữa,cậu nên thử qua tựa game mới ra gần đây khá nổi ấy
đi chơi gì,ăn_uống
bạn có muốn tặng bạn gái cho mình không,chừng nào mình kiếm được thị nỡ đi rồi mình tặng bạn luôn nha
mình có quà tặng gì khi mua laptop không,tai_nghe chuột và lót chuột
bạn thích mua ở shop nào trên shopee,mình thường mua ở yame zara biti ' s
bạn thích chơi môn thể_thao gì nhaats,đá banh
bạn đang học gì,mình đang học công_nghệ thông_tin
tao là ai,kẻ ít thông_minh hơn tao
số điện_thoại bạn đang dùng là mạng gì,mình dùng mạng viettel
bên bạn có các dòng máy_tính như thế_nào nhỉ,asus acer dell
kiểm_tra hộp thư_thoại,không có gì
vậy khi ăn thì bạn thường ăn những món gì,mình với người_yêu hay đi ăn lẩu hoặc các món lề_đường
chứ giờ chơi cái gì,giờ rảnh là lướt facebook thôi à
6h ngày_mai,ok
bạn mua ở shop nào thế,mình mua của xiaomi mall trên shopee
ý hay đó nhưng mà hai đứa mình đâu có biết làm bánh kem,thì mình cứ làm theo sách dạy nấu_ăn là được thôi mà
bố bạn làm nghề gì,bố mình làm nông mẹ mình thì bán hàng bông ở nhà
vậy tối nay 6g rạp cgv cresent mall nha_cậu,okay cậu
cậu khỏe không,mình khỏe cảm_ơn
nhớ người_yêu cũ không,nhớ
đang làm nghề gì,shipper
hai cộng ba bằng mấy,năm
bạn học ở đâu,tui học ở tdtu nè
học_phí trong trường có đắt không ạ,cái này tùy vào từng người nhưng mình thường nghe mọi người bảo đắt
bạn ăn gì khi về nhà,mình ăn cơm mẹ nấu
buồn quá mày tao với uyên lại cãi nhau,sao nữa vậy
con chó có trước hay quả trứng có trước,quả trứng có trước
ông còn học đại_học phải hong_thế ông có đi làm thêm bên ngoài chưa,tui vừa đi học vừa làm linh_tinh bên ngoài đây nè
yêu chưa,yêu rồi
nghỉ lễ đi đâu không,không
bạn nhà ở đâu_vậy,q7
bạn có phiền trong công_việc không,lúc chạy deadline một_mình
bạn làm đồ_án về chủ_đề gì,mình làm về hệ_thống ecommerce
tết này bạn định đi đâu chơi,về quê thăm nội và ngoại mình thôi
bạn thích đi nơi nào nhất,mình thích đi nha trang nhất
mày quen anh đó được bao_lâu rồi,3 năm
oke cảm_ơn mày nhá,sao mày hỏi về cái quỳnh_vậy
xếp mắng tao,mắng gì
2 người có ở gần nhau không,hơi hơi gần
công_việc hiện_tại,nhân_viên văn_phòng
trong chuyên_ngành của bạn bạn thích môn gì nhất,ai
sống ở đâu,hồ chí minh
bạn đang đi học hay đi làm,mình đang đi học
sở_thích của bạn là gj,tớ thích đọc sách tham_gia các hoạt_động ngoài_trời
hiện_tại bạn đang ở nhà_trọ hay_là ở chung với gia_đình,hện tại mình đang ở nhà_trọ
bạn có biết gì về người đó không,biết gì là biết gì
shop ơi cho mình hỏi shop có ship ngày tết không ạ,chào bạn shop vẫn ship xuyên tết nhé
quê ở đâu,sài_gòn
dắt thêm người được không,được
lương_bổng như thế_nào á có đủ sống không,vẫn ổn đấy cậu ạ tháng này tớ được thưởng nè
trường mày học dễ rớt môn không,không
có hay nói_chuyện không,hay nhắn_tin messenger
trời hôm_nay sao,cửa_sổ bên trái
mày thấy quần hãng denim như thế_nào,mặc hơi nóng tao nghĩ đừng nên mua
còn không thì đi chùa bà,nghe cũng được
anh_chị_em,tao con_một
cho mình hỏi bạn tên gì,mình tên bảo
facebook mày là gì,tungtungtung
quả trứng có trước hay con gà có trước,con trứng gà
ông ở chung bme hong hay ông ở mình á,tui ở chung với ba mẹ nè
công_ty đó tên gì,fpt software
chứ liên_minh chời nhiều cũng chán,tối rảnh tao gửi cho mày link tải game này chơi
bạn thường đi chơi những đâu cùng với bạn_bè của mình,đi ăn_uống nè đi du_lịch nè vân vân
tao đẹp_trai không,tao không muốn mày buồn
oh thế_vậy các cậu thường đi đâu chơi,tớ hay chở người_yêu đi dạo phố với vô các trung_tâm thương_mại
mày thích gì,tao thích mày
